Product,Type,Content,Style,Movement,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F627e93dd-7999-4c24-83bd-fbc08a3924ef%2FUntitled.png?table=block&id=f86af4e1-3d0e-4472-be68-1ddbc37be1ff&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=850&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fde100527-1966-4ea9-b1cc-39cdc2eec839%2FUntitled.png?table=block&id=105b6343-1e16-48f8-b3a6-ccdaa2442e82&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=920&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F5d827342-e5a0-41ae-b5e8-5011ca378420%2FARRG05.jpg?table=block&id=f795acad-3f7b-4fc1-88a4-fc135f39104a&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=770&userId=&cache=v2()",Carousel,None,
2,Text,ทางเข้าหลักของศาลา ,Heading,None,
2,Text,การจัดวางและเปิดมุมมองนั้นมีการวิเคราะห์ผ่านทิศทางของลมและแสงทำให้พื้นที่ถูกกั้นโดย ระแนงทำให้ลมและแสงยังสามารถผ่านไปได้ พื้นที่บริเวณนี้เป็นการนำทางให้ผู้ใช้เข้าไปในพื้นที่และมีการเล่าเรื่องราวของเวียงเจ็ดลิน,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F5d827342-e5a0-41ae-b5e8-5011ca378420%2FARRG05.jpg?table=block&id=f795acad-3f7b-4fc1-88a4-fc135f39104a&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=770&userId=&cache=v2,",Fit,None,
2,Text,ใจกลางศาลา,Heading,None,
2,Text,การออกแบบเป็นการจำลองพื้นที่เป็นภูเขาให้ได้เข้ามาอยู่ใกล้กับคนเนื่องจากเจ็ดลินนั้นมีความเกี่ยวข้องกัน ระหว่างคน น้ำ และภูเขา,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Faf7acbdb-2303-43f9-b38d-0de7dfd8cb3b%2FARRG03.jpg?table=block&id=1aef69ac-dfa0-4d54-85a7-a112d2c712aa&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,พื้นที่ใช้สอยโดยรอบ ,Heading,None,
2,Text, พื้นที่ที่เปรียบสเหมือนคลื่นน้ำเกิดการเคลื่อนไหว โดยมีรูปทรงที่โค้งคล้ายกับคลื่นที่เกิดขึ้นเมื่อน้ำพุด จากพื้น และใช้ผ้าในการเพิ่มความพริ้วไหวของศาลาให้มีชีวิตคล้ายกับสายที่กำลังพริ้วไหว อีกทั้งหน้าที่เชิ่งการใช้สอยในการแบ่งพื้นที่หรือกั้นมุมมอง,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fec3c79aa-8a09-4159-8949-919768ff0e93%2FARRG02.jpg?table=block&id=e98469e8-2134-45b5-9b6c-21bb39e89220&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,บ่อตาน้ำผุด,Heading,None,
2,Text,บ่อยังคงรูปทรงเดิมตามโครงสร้างด้านล่างเพื่อป้องการการรบกวนระบบตาน้ำด้านล่างแต่มีการเพิ่มลูกเล่น เข้าไปโดยเพิ่มการเล่นระดับน้ำไหล เพื่อเพิ่มการเคลื่อนไหวของน้ำและดึงดูดความสนใจของคนที่เข้ามาใช้พื้นที่เมื่อได้สินเสียงน้ำก็จะเข้ามาสนใจพื้นที่อีก ทั้งยังทำให้พื้นที่ดูมีชีวิตเกิดการไหลของน้ำ,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Ff1345de4-6b31-4ac6-98e1-38b7d48be52e%2FARRG04.jpg?table=block&id=b768cf57-2b7f-4411-8da0-4ba282728f06&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,ภาพแบบร่างออกแบบ,Heading,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Ff8a4aa89-e3a0-4cb5-9f5e-faa926fd6999%2FUntitled.png?table=block&id=43c33994-7451-496f-a45a-e373a39db952&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1560&userId=&cache=v2,",Fit,None,
2,Text,วัสดุและการออกแบบ (Plan),Heading,None,
2,Text,"การออกแบบหลังคามาจากน้ำที่ตก บนน้ำทำให้น้ำกระเพือมออก,ไม้ไผ่จะถูกตัดและจะมัดให้เป็นรูปทรงอาร์ด,ที่บริเวณเสาจะมีไม้ไผ่ตัดขึ้นรูปโค้งถักกันไปมาเพื่อเป็นโครงสร้างหลังคา,EAVE GRASS,BAMBOO",List(bullet),None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F845c56a2-09d3-4164-b8fa-9de1ba8e91ec%2FUntitled.png?table=block&id=e95255fd-edf5-40bd-86c3-98749d66cb7b&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1390&userId=&cache=v2,",Fit,None,
2,Text,มุมมองการออกแบบ,Heading,None,
2,Text,"Free Space,Water spring,History,System pump",List(bullet),None,"หมายเหตุ: แต่ละรายการข้อมูล คั่นด้วย เครื่องหมาย (,)"
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F88f9175c-d862-4110-939c-aa2a8779692b%2FUntitled.png?table=block&id=4fcfbad7-ccbc-4f9f-81fb-b13b6a2262d2&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1250&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F88c9eb7c-b887-4462-81ec-a4413c4a2db5%2FUntitled.png?table=block&id=1e9a4d4d-1a5d-4f41-959f-3af138fe61a3&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1740&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fb47a2a23-e8d6-4c73-9573-e29c547b0026%2FUntitled.png?table=block&id=df7bd1b1-a7f7-46d9-af5b-b826f9236522&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1440&userId=&cache=v2()",Slideshow,None,
2,Text,ผลงานประกวดรางวัลที่ 2 (WXYZ_LIFERETURN),Heading,None,
2,Text,แนวคิดในการออกแบบศาลาตาน้ำเวียงเจ็ดลิน (Concept) ,Subheading,None,
2,Text,“ลำน้ำที่สำคัญให้กลับบ้านมีชีวิตชีวา และ โลดแล่นในความคิดของผู้คนในปัจจุบันอีกครั้ง”,Paragraph,None,
2,Text,ฟื้นคืน การมีชีวิตของตาน้ำ,Heading,None,
2,Text,ตาน้ำเองได้รู้สึกถึงการมีชีวิตอีกครั้ง - ต้นกำเนิดของตาน้ำธรรมชาติ มีแรงดันจากใต้ดินดันตัว และท้ายสุดก็ปรากฎสู่พื้นดินขึ้นมาภายนอก,Paragraph,None,
2,Text,"การผุดขึ้น,การเคลื่อนไหว,สร้างระบบนิเวศ",List(bullet),None,
2,Text,ตาน้ำเองได้รู้สึกถึงการมีชีวิต จาการให้ความสำคัญของผู้คน - สร้างปฏิสัมพันธ์กัยผู้คนโดยการ เชื้อเชิญ ให้ผู้คนสามารถได้อะไรจากตาน้ำ,Paragraph,None,
2,Text,การศึกษา,Subheading,None,
2,Text,"ต้องสามารถให้ความรู้เชิงประวัติศาสตร์,ต้องสามารถให้ความรู้เชิงวิทยาศาสตร์",List(bullet),None,
2,Text,ผู้คนทั่วไป,Subheading,None,
2,Text,"จัดวันเพื่อการบูรณะและค่อยดูแลสถานที่อยู่เสมอ,เป็นจุดเยี่ยมชมหลักฐานทางประวัติศาสตร์",List(bullet),None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fd5f53dda-90b2-452f-8709-a3da5b2363c3%2FUntitled.png?table=block&id=a645372b-fc44-4af6-aec8-a68bbf96b8b6&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1590&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Ffd7436d2-f9ae-4b76-9a3d-449cf0fa572d%2FUntitled.png?table=block&id=7f1a0bd8-cacc-4c00-9d02-627cedd5dffb&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1150&userId=&cache=v2()",Carousel,None,
2,Text,วัสดุและการออกแบบ (Plan),Subheading,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F5d21c2c8-61eb-4fd3-81e4-b24efdceaf41%2FUntitled.png?table=block&id=42227d11-4ba8-4647-9ea7-ee8a950aaba9&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=770&userId=&cache=v2,",Fit,None,
2,Text,Key plan,Subheading,None,
2,Text,"ทางเข้าศาลา,ทางเดินในกำแพง,ตาน้ำ,ทางเดินรอบตาน้ำ,ตาน้ำขันบันได,ปั๊มน้ำ",List(number),None,"หมายเหตุ: แต่ละรายการข้อมูล คั่นด้วย เครื่องหมาย (,)"
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F38e2aaaa-951a-48c1-8d2a-fffddba32476%2FUntitled.png?table=block&id=3ee826b7-e916-4a91-8bb9-1b3d99d21fbe&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=580&userId=&cache=v2,",Fit,None,
2,Text,วัสดุโครงสร้างรวม,Subheading,None,
2,Text,ไม้ไผ่สามารถโค้งงอหรือปรับได้หลากหลาย ทั้งการประดับตกแต่ง,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F2078a19a-7ce8-40fa-802a-e086f18f4294%2FUntitled.png?table=block&id=9d408239-d5f2-4c01-a540-db1980ae5cc8&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=580&userId=&cache=v2,",Fit,None,
2,Text,ศิลาแลง,Subheading,None,
2,Text,กำแพงนำเดินโดยรอบตัวศาลา เปรียบเสมือนกำแพงเมือง,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fd74f3363-4346-41e7-9677-81f4b382103c%2FUntitled.png?table=block&id=717e01cf-fd69-48b7-a85e-09d941823c5d&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=580&userId=&cache=v2,",Fit,None,
2,Text,วัสดุมุง,Subheading,None,
2,Text,หลังคาที่ต้องการความโปร่งใส อย่างเช่น หลังคา PVC หรือโพลี่คาบอน,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F21e07230-a169-4a9e-aa9f-6bf08a6d6645%2FUntitled.png?table=block&id=1ad1517b-1089-48f6-aafe-ae21a4da8832&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1590&userId=&cache=v2,",Fit,None,
2,Text,"จำลองการผุด จากวิเคราะห์ Diagram สู่การพัฒนาแนวคิดสู่กายภาพทางสถาปัตยกรรม, การเปิด-ปิด การวิเคราะห์การเปิด-ปิดของพื้นที่จาก บริบทโดยรอบของไซต์ โดยเลือกที่จะเปิดตรงที่สำคัญทางสายตา และ สภาพอากาศและเลือกที่จะปิดในจุดที่จำเป็น,สร้างความเป็นระบบนิเวศ สร้างระบบนิเวศธรรมชาติที่เหมาะสมกับการเป็นตาน้ำ มีการออกแบบเลือกใช้ธรรมชาติส่งเสริมพื้นที่และยกระดับให้ความสำคัญตามแนวคิด และวัตถุประสงค์,เชื้อเชิญผู้คน การเชื้อเชิญให้ผู้คนเข้ามาใช้งานในพื้นที่ รับรู้ถึงความรู้สึกที่สำคัญทางประวัติศาสตร์ ผ่านการเลือกใช้ การปิดนอก-เปิดใน เพื่อให้ผู้คนที่เข้ามาได้มีความรู้สึกที่ต้องการอยากเข้าไป",List(number),None,"หมายเหตุ: แต่ละรายการข้อมูล คั่นด้วย เครื่องหมาย (,)"
2,Text,มุมมองการออกแบบ,Subheading,None,
2,Text,มุมมองทางสายตา ที่นำมาใช้ในการออกแบบ คือต้นจามจุรี เนื่องจากเป็นต้นไม้ที่มีอายุยาวนานจึงทำให้มีขนาดใหญ่ เป็นจุดดึงดูดสายตา และมีศักยภาพพอที่จะแสดงถึงการสร้างไฮไลท์ของพื้นที่ขั้นมาได้ จึงให้ความสำคัญกับต้นไม้นี้มาก แล้วจากการนำผลานกับ concept ที่ต้องการลองน้ำผุด ฟรอมของต้นไม้ก็ทำให้รู้สึกถึงการผุดของตาน้ำ ที่กระจายตัวออก จาก diagram ก่อนหน้านี้,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F10eee9da-a83c-40aa-bb4d-0478a5252b7c%2FUntitled.png?table=block&id=8c9022e4-e4c0-45f0-93bb-1286e0357818&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
